Country,Clicks,Impressions,CTR,Position
Italy,1,1,100%,150
United States,0,95,0%,82.34
United Kingdom,0,29,0%,80.52
Australia,0,19,0%,85.74
Canada,0,14,0%,88.86
India,0,3,0%,110.33
Ukraine,0,2,0%,5.5
Israel,0,2,0%,47.5
Germany,0,2,0%,50.5
Pakistan,0,2,0%,80
Netherlands,0,2,0%,81
Philippines,0,2,0%,89.5
Brazil,0,1,0%,1
South Korea,0,1,0%,1
Portugal,0,1,0%,1
Costa Rica,0,1,0%,11
Switzerland,0,1,0%,64
Morocco,0,1,0%,64
Spain,0,1,0%,75
Nigeria,0,1,0%,78
Egypt,0,1,0%,84
Sri Lanka,0,1,0%,85
Nepal,0,1,0%,87
South Africa,0,1,0%,88
Turkey,0,1,0%,89
New Zealand,0,1,0%,99
Malaysia,0,1,0%,235
