Top pages,Clicks,Impressions,CTR,Position
https://getimgtools.com/bulk-compress,1,83,1.2%,86.14
https://getimgtools.com/blog/remove-exif-data-from-photos-why-how,0,64,0%,88.69
https://getimgtools.com/,0,11,0%,1.36
https://getimgtools.com/convert-to-png,0,10,0%,88.3
https://getimgtools.com/convert-to-webp,0,9,0%,72.44
https://getimgtools.com/compress-jpg,0,6,0%,70
https://getimgtools.com/compress-png,0,3,0%,139.67
https://getimgtools.com/compress-webp,0,2,0%,67
https://getimgtools.com/color-palette,0,1,0%,4
https://getimgtools.com/convert-to-jpg,0,1,0%,24
